Annual Costs of Public 2-Year College (average $),"Per Pupil Spending, Public K-12 ($)",State Spending on Higher Education ($ per capita),State Spending on Academic Research and Development  ($ per capita),Individuals with Home Internet Access (% ages 3 and older),Teenagers Not in School and Not Working (% ages 16-19),Total Population,Population under 18 (%),Population over 65 (%),Urban Population (%),Rural Population (%),White not Latino Population (%),Latino Population (%),African American Population (%),Asian American Population (%),Native American Population (%),Population some other race or races (%),Renters Spending 30% or More on Housing (%),Owners Spending 30% or More on Housing (%), Housing Units Occupied by Owner (%),Housing Units with 1.01 or More Occupants per Room (%),"Foreclosures (per 10,000 homes)",Homeless Population (total number),Homeless (% of population),"Commute 60 Minutes or More (% of workers, 16 and over)",Commute by Carpool (% of workers),State Expenditure on Transportation ($ per person),"Infant Mortality Rate (per 1,000 live births)",Low-Birth-Weight Infants (% of all infants),"Child Mortality (age 1-4, per 100,000 population)",Food-Insecure Households (%),Child Immunization Rate (%),Diabetes (% age 18 and older),Obesity (% age 20 and older),"Births to Teenage Girls (per 1,000 age 15-19)","Practicing Physicians (per 10,000 population)",Smoking (% age 18 and older),Binge Drinking (% adults in past 30 days),Uninsured (% of individuals lacking coverage),Medicare Recipients (thousands),Medicaid Recipients (thousands),Medicaid Eligibility Cutoff (income as % of poverty line),State Medicaid Spending (per recipient),Children on Medicaid (% age 0 -18),Army Recruits (total),"Army Recruits (per 1,000 youth)","Army Recruits (per 1,000 youth)",Change in Army Recruits from 2007 to 2008 (%),"Total Military Casualties in Operations Enduring Freedom and Iraqi Freedom, to April 2010 ","Violent Crime  (per 100,000)","Property Crime (per 100,000)","Homicide (per 100,000)",Homicide by Firearm (%),"Suicide (per 100,000 age-adjusted)",Rape (total number),"Rape (per 100,000)","Child Maltreatment (per 1,000 children)",State Police Expenditure ($ per resident),"Prisoners, State or Federal Jurisdiction (total number)","Incarceration Rate (per 100,000 inhabitants)",State Expenditure on Corrections ($ per prisoner),Turnout (% of eligible voters who voted),Change in Turnout from 2004,"Ineligible to Vote Due to Felony Convictions (per 100,000 voting-age population)",Seats in State Legislatures Held by Women (%),Women in Congressional Delegation (total),Men in Congressional Delegation (total),Carbon Dioxide Emissions (metric tons per capita),Carcinogen Releases (pounds),Lead Releases (pounds),"Mercury Releases (pounds per 1,000 population)",Dioxin Releases (grams),"Superfund
Sites (total)",Protected Forest (acres),Protected Farm and Ranch Land (acres),Energy Consumption (BTUs per capita),"Water Consumption (gallons per day, per capita)","Labor Force Participation Rate (%, ages 16 to 64)",State Per Capita GDP ($),State Minimum Wage ($ per hour),Gini Coefficient,Poverty Rate (% below federal poverty threshold),Child Poverty (% living in families below the poverty line),Federal Revenue to Each State ($ per capita),State Public Assistance Spending ($ per capita),Food Stamps Use (%),"Unemployment Rate
(% ages 16 and over)",Union Membership (%),State Earned Income Tax Credit (% of federal Earned Income Tax Credit),"Bankruptcies (filings per 1,000)","Management, professional, and related occupations (%)",Service occupations (%),Sales and office occupations (%),"Farming, fishing, and forestry occupations (%)","Construction, extraction, maintenance and repair occupations (%)","Production, transportation, and material moving occupations (%)"
" 2,439 "," 11,339 ",503,171,76.5,8.0,"308,745,538",24.0,13.0,80.7,19.3      ,63.7,16.3,12.2      ,4.7      ,0.7      ,2.3      ,53.0,38.0,65.4,3.3     ,25.9,"649,917   ",0.21    ,8.2     ,10.7     ,…,6.2,8.1,28.6     ,11.1,84.6,8.3,27.8,34.2     ,27.2,21.2,18.3,16.0," 46,585 ","62,589",,…,35.0      ,"69,357    ",1.6     ,1.6     ,…,5322,387    ,"2,859    ",4.7,…,12.1     ,"84,376",26.9,9.1     ,…,"2,310,284  ",762    ,…,58.2     ,-3.2     ,"1,346     ",24.4,90,446,,,,,,,"1,982,821   ",…,"342,024   ","1,544   ",75.7     ,"42,069    ",…,0.469     ,15.3     ,21.6     ,"8,195     ",…,9.3     ,7.1     ,12.3     ,…,4.5     ,34.9     ,17.1     ,25.5     ,0.7     ,9.3     ,12.5     
"3,422","9,476       ",906,152       ,80.0,9.6,"4,779,736",23.7,13.8,59.0,41.0      ,67.0      ,3.9      ,26.0      ,1.1      ,0.5      ,1.4      ,54.1,32.8,70.1,1.9     ,11.2,"6,046   ",0.13    ,5.8     ,11.8     ,269   ,8.7,10.3,31.2     ,11.9,83.1,11.2,32.0,43.6     ,21.4,24.3,13.7,14.0,854   ,877,10    ,"8,059   ",37.0      ,"1,630    ",2.5     ,2.5     ,0.0     ,87     ,450    ,"3,502    ",7.1,50.0    ,14.0     ,"1,296   ",26.9     ,7.6     ,35     ,"29,871  ",619    ,"19,316    ",58.9     ,3.0     ,"2,346     ",12.9,0,9,30.5     ,"13,507,625  ","4,189,437  ",50.90   ,353    ,13     ,"10,127   ","1,309    ","479,024   ","2,464   ",71.6     ,"32,354    ",…,0.472     ,19.0     ,27.7     ,"9,571     ",9     ,12.1     ,5.9     ,10.9     ,…,7.3     ,30.8     ,15.5     ,26.1     ,0.6     ,10.8     ,16.1     
"3,894","16,974       ",1252,162       ,69.5,10.9,"710,231",26.4,7.7,66.0,34.0      ,64.1      ,5.5      ,3.1      ,5.3      ,14.4      ,7.6      ,47.5,32.2,63.9,6.2     ,10.1,"1,863   ",0.28    ,4.5     ,14.4     ,"3,230   ",3.8,5.7,34.8     ,12.4,79.2,6.7,27.4,38.3     ,24.3,22.9,20.8,18.0,66   ,119,74    ,"15,348   ",29.0      ,215    ,2.1     ,2.0     ,-5.0     ,21     ,603    ,"2,739    ",4.1,37.9    ,22.8     ,583   ,79.7     ,15.4     ,106     ,"5,223  ",357    ,"55,524    ",58.9     ,-14.8     ,"2,494     ",21.7,1,2,69.0     ,"206,203,909  ","200,589,823  ",106.01   ,1    ,6     ,"4,920   ",40    ,"1,177,491   ","1,763   ",78.7     ,"61,202    ",7.75     ,0.422     ,9.9     ,12.9     ,"13,654     ",155     ,8.2     ,6.2     ,22.3     ,…,1.3     ,34.1     ,16.3     ,25.2     ,0.9     ,12.7     ,10.8     
"1,671","8,714       ",413,128       ,76.0,10.6,"6,392,017",25.5,13.8,89.8,10.2      ,57.8      ,29.6      ,3.7      ,2.7      ,4.0      ,2.1      ,53.2,41.2,65.2,4.4     ,59.1,"13,711   ",0.23    ,6.6     ,13.1     ,206   ,6.0,7.1,28.9     ,12.0,84.6,7.8,25.1,41.9     ,22.6,19.3,17.6,18.0,930   ,1588,100    ,"9,930   ",33.0      ,"1,996    ",1.9     ,2.3     ,17.4     ,123     ,429    ,"3,539    ",5.5,65.7    ,17.0     ,"2,277   ",34.7     ,5.4     ,36     ,"38,988  ",565    ,"26,316    ",52.9     ,-2.2     ,"1,945     ",31.1,2,8,15.1     ,"21,492,996  ","17,366,164  ",5.37   ,14    ,9     ,630   ,0    ,"250,089   ","1,172   ",74.1     ,"34,676    ",7.25     ,0.455     ,17.4     ,24.4     ,"7,519     ",18     ,9.5     ,7.8     ,6.5     ,…,5.0     ,32.9     ,19.1     ,27.2     ,0.4     ,11.2     ,9.1     
"2,311","9,744       ",962,86       ,68.5,12.0,"2,915,918",24.4,14.4,56.2,43.8      ,74.5      ,6.4      ,15.3      ,1.2      ,0.7      ,1.8      ,49.6,27.5,67.4,2.6     ,15.4,"2,762   ",0.10    ,5.0     ,12.6     ,317   ,7.3,8.8,45.9     ,14.4,81.4,9.5,30.9,52.5     ,20.2,27.0,14.1,18.0,531   ,825,13    ,"8,826   ",49.0      ,753    ,2.3     ,2.0     ,-15.0     ,70     ,469    ,"3,660    ",5.9,65.1    ,15.5     ,"1,247   ",42.3     ,15.6     ,36     ,"14,552  ",507    ,"27,007    ",50.5     ,-5.8     ,"2,389     ",23.0,1,5,21.3     ,"3,455,259  ","325,555  ",1.00   ,132    ,9     ,"15,923   ",0    ,"414,124   ","4,611   ",71.9     ,"31,547    ",6.25     ,0.458     ,18.8     ,27.6     ,"7,655     ",130     ,13.1     ,6.9     ,4.2     ,…,5.5     ,29.4     ,16.3     ,25.9     ,1.1     ,9.8     ,17.5     
723,"9,530       ",446,191       ,76.6,8.3,"37,253,956",25.0,11.4,95.0,5.0      ,40.1      ,37.6      ,5.8      ,12.8      ,0.4      ,3.2      ,57.2,51.3,55.6,8.6     ,52.1,"132,391   ",0.36    ,10.0     ,11.9     ,257   ,4.7,6.8,23.5     ,10.2,86.8,8.5,23.8,31.5     ,26.1,13.7,18.6,20.0,"4,757   ",11519,100    ,"7,054   ",38.0      ,"6,087    ",1.1     ,1.1     ,0.0     ,570     ,423    ,"2,759    ",5,69.4    ,10.3     ,"7,837   ",20.6     ,8.6     ,37     ,"173,320  ",471    ,"56,554    ",55.2     ,-6.1     ,752     ,27.5,21,34,10.8     ,"17,906,862  ","8,071,051  ",0.78   ,197    ,94     ,"20,620   ","2,015    ","234,158   ","1,433   ",74.0     ,"44,898    ",8.00     ,0.471     ,15.8     ,22.0     ,"7,006     ",271     ,6.0     ,8.5     ,17.2     ,…,5.4     ,35.8     ,17.7     ,25.3     ,1.4     ,8.6     ,11.2     
"2,727","9,704       ",709,187       ,82.8,7.7,"5,029,196",24.4,10.9,86.2,13.8      ,70.0      ,20.7      ,3.8      ,2.7      ,0.6      ,2.3      ,52.2,37.6,65.9,2.7     ,29.7,"15,482   ",0.30    ,6.4     ,11.3     ,285   ,5.9,8.8,21.2     ,11.0,86.5,6.0,20.7,33.4     ,26.9,18.3,20.1,14.0,625   ,678,100    ,"9,528   ",25.0      ,"1,041    ",1.6     ,1.6     ,0.0     ,76     ,309    ,"2,685    ",3.1,57.5    ,16.8     ,"2,113   ",40.7     ,8.6     ,23     ,"23,130  ",468    ,"32,425    ",70.3     ,5.4     ,713     ,37.0,2,7,19.5     ,"6,295,753  ","5,919,746  ",0.92   ,6    ,18     ,"10,871   ","1,177    ","300,243   ","3,283   ",79.2     ,"45,913    ",7.24     ,0.457     ,13.4     ,17.4     ,"7,222     ",7     ,5.0     ,6.8     ,7.0     ,…,5.4     ,38.1     ,16.4     ,24.8     ,0.5     ,10.8     ,9.4     
"3,401","15,993       ",753,209       ,84.4,5.8,"3,574,097",22.9,14.2,88.0,12.0      ,71.2      ,13.4      ,9.4      ,3.8      ,0.2      ,2.0      ,53.7,41.4,68.0,2.0     ,20.2,"4,316   ",0.13    ,7.8     ,8.8     ,449   ,5.3,8.0,23.0     ,8.8,88.2,6.8,24.5,18.7     ,36.0,17.1,17.9,10.0,568   ,558,185    ,"12,964   ",26.0      ,388    ,0.8     ,0.8     ,0.0     ,35     ,283    ,"2,140    ",4.1,76.7    ,9.4     ,919   ,25.6     ,12.5     ,57     ,"21,099  ",411    ,"33,461    ",60.9     ,-6.3     ,742     ,32.1,1,6,12.6     ,"1,027,151  ","321,708  ",0.13   ,4    ,14     ,"8,052   ","1,305    ","265,316   ","1,211   ",79.0     ,"55,143    ",8.25     ,0.486     ,10.1     ,12.8     ,"8,756     ",136     ,6.4     ,7.8     ,17.3     ,…,2.8     ,40.2     ,16.7     ,24.9     ,0.2     ,7.7     ,10.2     
"2,942","12,876       ",421,153       ,77.2,8.5,"897,934",22.9,14.4,83.3,16.7      ,65.3      ,8.2      ,20.8      ,3.2      ,0.3      ,2.2      ,55.2,37.3,73.0,2.2     ,11.3,982   ,0.13    ,7.5     ,10.6     ,830   ,7.7,8.9,17.2     ,8.6,84.3,8.3,28.8,30.5     ,26.3,21.8,20.3,11.0,149   ,209,100    ,"12,085   ",33.0      ,146    ,0.8     ,1.2     ,33.3     ,16     ,547    ,"3,341    ",6.2,71.9    ,11.3     ,243   ,26.5     ,12.0     ,119     ,"7,362  ",473    ,"36,539    ",62.7     ,-2.3     ,"1,587     ",25.8,0,3,20.4     ,"592,012  ","73,886  ",18.96   ,968    ,14     ,"2,032   ",280    ,"368,262   ","1,357   ",76.9     ,"61,737    ",7.25     ,0.440     ,11.8     ,18.1     ,"6,862     ",27     ,8.4     ,7.0     ,11.9     ,20.0     ,3.3     ,36.8     ,17.4     ,26.4     ,0.3     ,9.5     ,9.7     
,"19,957       ",…,624       ,72.1,8.8,"601,723",16.8,11.4,100.0,0.0      ,34.8      ,9.1      ,50.0      ,3.5      ,0.2      ,2.4      ,50.7,35.7,42.5,2.8     ,9.0,"6,539   ",1.04    ,9.3     ,6.6     ,…,7.9,10.2,32.6     ,11.9,84.6,8.0,23.8,45.4     ,76.9,20.8,25,11.0,78   ,175,200    ,…,49.0      ,40    ,0.4     ,0.4     ,0.0     ,8     ,"1,244    ","4,861    ",13.9,…,6.9     ,236   ,37.3     ,22.6     ,…,…,…,…,61.9     ,14.0     ,0     ,…,1,0,6.7     ,266  ,114  ,…,…,1     ,…,…,"328,318   ",19   ,75.8     ,"147,965    ",8.25     ,0.532     ,19.2     ,30.4     ,"68,939     ",…,14.9     ,8.0     ,10.4     ,40.0     ,1.8     ,55.6     ,16.0     ,20.1     ,0.1     ,3.0     ,5.2     
