State,Total,American Indian/ Alaska,Asian/Pacific Islander,Hispanic,Black,White,Economically disadvantaged,Limitd English proficiency,Studentswith disabilities
Alaska,70.00,54.00,76.00,70.00,61.00,76.00,59.00,47.00,46.00
Arizona,76.00,63.00,84.00,70.00,71.00,84.00,71.00,24.00,65.00
Arkansas,84.00,78.00,84.00,78.00,78.00,87.00,79.00,77.00,79.00
California,78.00,72.00,90.00,73.00,66.00,86.00,73.00,62.00,61.00
Colorado,75.00,58.00,82.00,62.00,66.00,82.00,61.00,53.00,54.00
Connecticut,85.00,84.00,92.00,69.00,73.00,91.00,71.00,63.00,64.00
Delaware,80.00,71.00,93.00,74.00,74.00,83.00,72.00,71.00,57.00
District of Columbia,59.00,   ,74.00,54.00,58.00,86.00,70.00,52.00,44.00
Florida,75.00,70.00,89.00,73.00,64.00,80.00,65.00,57.00,48.00
Georgia,70.00,67.00,82.00,60.00,62.00,78.00,61.00,44.00,35.00
Hawaii,82.00,65.00,84.00,76.00,76.00,79.00,80.00,56.00,74.00
Idaho2,  ,  ,  ,  ,  ,  ,  ,  ,  
Illinois,82.00,79.00,93.00,76.00,68.00,89.00,73.00,66.00,69.00
Indiana,86.00,78.00,89.00,80.00,73.00,89.00,85.00,78.00,71.00
Iowa,89.00,73.00,89.00,77.00,74.00,91.00,80.00,74.00,73.00
Kansas,85.00,78.00,86.00,77.00,75.00,88.00,76.00,74.00,77.00
Kentucky2,  ,  ,  ,  ,  ,  ,  ,  ,  
Louisiana,72.00,73.00,85.00,70.00,65.00,78.00,66.00,49.00,33.00
Maine,85.00,72.00,89.00,80.00,72.00,86.00,76.00,74.00,70.00
Maryland,84.00,79.00,93.00,73.00,77.00,90.00,75.00,55.00,57.00
Massachusetts,85.00,70.00,89.00,66.00,73.00,90.00,72.00,61.00,69.00
Michigan,76.00,66.00,87.00,64.00,60.00,82.00,64.00,63.00,54.00
Minnesota,78.00,45.00,74.00,53.00,51.00,84.00,59.00,51.00,56.00
Mississippi,75.00,71.00,90.00,79.00,69.00,82.00,70.00,54.00,32.00
Missouri,86.00,87.00,90.00,80.00,73.00,89.00,79.00,67.00,73.00
Montana,84.00,63.00,92.00,79.00,79.00,87.00,73.00,53.00,81.00
Nebraska,88.00,67.00,83.00,78.00,74.00,91.00,80.00,64.00,72.00
Nevada,63.00,54.00,74.00,54.00,48.00,72.00,58.00,23.00,24.00
New Hampshire,86.00,73.00,86.00,74.00,76.00,87.00,73.00,68.00,70.00
New Jersey,86.00,84.00,95.00,77.00,75.00,93.00,75.00,73.00,74.00
New Mexico,70.00,65.00,84.00,68.00,69.00,77.00,65.00,66.00,56.00
New York,77.00,63.00,86.00,63.00,63.00,87.00,68.00,44.00,48.00
North Carolina,80.00,74.00,87.00,73.00,75.00,85.00,75.00,50.00,60.00
North Dakota,87.00,63.00,86.00,73.00,76.00,90.00,74.00,68.00,68.00
Ohio,81.00,65.00,90.00,68.00,61.00,86.00,68.00,62.00,68.00
Oklahoma2,  ,  ,  ,  ,  ,  ,  ,  ,  
Oregon,68.00,51.00,79.00,60.00,53.00,71.00,61.00,49.00,38.00
Pennsylvania,84.00,74.00,89.00,68.00,68.00,89.00,74.00,64.00,70.00
Rhode Island,77.00,58.00,79.00,67.00,67.00,82.00,66.00,69.00,59.00
South Carolina,75.00,71.00,85.00,69.00,71.00,78.00,68.00,64.00,40.00
South Dakota,83.00,47.00,84.00,67.00,67.00,89.00,67.00,60.00,64.00
Tennessee,87.00,88.00,91.00,80.00,79.00,91.00,82.00,72.00,73.00
Texas,88.00,87.00,94.00,84.00,84.00,93.00,85.00,59.00,77.00
Utah,80.00,64.00,78.00,66.00,64.00,83.00,70.00,51.00,64.00
Vermont,88.00,≥80,94.00,86.00,72.00,88.00,77.00,75.00,71.00
Virginia,83.00,81.00,90.00,73.00,75.00,88.00,72.00,55.00,49.00
Washington,77.00,59.00,82.00,67.00,67.00,80.00,66.00,54.00,58.00
West Virginia,79.00,67.00,94.00,79.00,74.00,80.00,72.00,83.00,60.00
Wisconsin,88.00,77.00,89.00,74.00,64.00,92.00,75.00,66.00,69.00
Wyoming,79.00,50.00,86.00,67.00,66.00,82.00,65.00,56.00,59.00
