State,Region,Division,HDI,HDI_M,HDI_F,LE,LE_M,LE_F,Earnings,Earnings_M,Earnings_F,pctNoHS,pctNoHS_M,pctNoHS_F,pctHSDiploma,pctHSDiploma_M,pctHSDiploma_F,pctBA,pctBA_M,pctBA_F,pctMAPlus,pctMAPlus_M,pctMAPlus_F,pctSchoolEnrollM,pctSchoolEnroll_M,pctSchoolEnroll_F,pctLowBRTHWGHT,pctNoPreSchool,pct4THGRADE<READPROF,pctHSNotGrad4YR,pctCHLDRNPVRTY,pctSENIOR PVRTY,pctPRESCHOOL,pctLEARNINGESL,pctSpEd,pctEconDISADVSTDNTS,pct4THGRADE>=PROFREAD,pct8THGRADE>=PROFMATH,pctPUBLICHSGRAD,pctHSGRADtoCLG,ANNUALCOST4YRPUB,ANNUALCOST4YRPRIV,ANNUALCOST2YRPUB,PUBLIC$perPUPIL,$HIGHERED_PC,$RD_PC,pctINTERNET,pctTEEN_NSNW,TotalPOP,pct<18,pct>65,pctURBAN,pctRURAL,pctWHITE,pctLATINO,pctAFRAMER,pctASIAN,pctNATIVE,pctOTHER,pctHOMELESS,pctLongCommute,IMR,CMR,pctDiabetes,pctObesity,TEENBIRTHRATE,PHYSICIANRATE,pctSmoking,pctBingeDrink,pctUnINs,TotArmy,ArmyRate2007,ArmyRate2008,ViolCrimeRate,PropCrimeRate,HOMICIDERATE,pctFIREARM,SUICIDERATE,RAPERATE,PrisonerRate,PrisonExp_PP,pctVoter,pctWMNLEGISLATURE,CO2_PC,CARCINOGEN,LEAD,MERCURY,PROTECTFOREST,ENRGCONS_PC,WATERCONS_PDPC,LABORFORCE,GDP_PC,MinWage,pctPOVERTY,pctCHLDPOVERTY,UR,pctMNGMT,pctSERVICE,pctSALESOFFICE,pctFARMFISH,pctCONSTRMAINT,pctPRODTRANSP
Alabama,South,EastSouthAtlntc,4.04,4.04,4.04,75.4,72.59,78.2,25530,30953.00,37153.00,17.9,18.75,17.07,82.1,81.25,82.93,21.9,21.98,21.85,8.0,7.93,8.05,76.1,74.89,77.88,10.3,56.6,68.5,28.2,31.9,10.7,46.91,2.0,11.0,53.0,31.5,20.1,71.8,64.3,"14,416","24,318","3,422","9,476       ",906,152       ,80.0,9.6,"4,779,736",23.7,13.8,59.0,41.0      ,67.0,3.9,26.0,1.1,0.5,1.4,0.1,5.8,8.7,31.2,11.2,32.0,43.6,21.4,24.3,13.7,14.0,1630,2.5,2.5,449.9,3502.2,7.1,50.0,14.0,26.9,619,19316.4,58.9,12.9,30.5,13507625,4189437,50.9,10127.0,479024.0,2464.2,71.6,32354.0,É,19.0,27.7,5.9,30.8,15.5,26.1,0.6,10.8,16.1
Alaska,West,Pacific,5.06,5.29,5.07,78.3,76.34,80.4,32140,40408.00,21018.00,9.0,9.26,8.64,91.0,90.74,91.36,27.9,26.30,29.69,9.4,9.65,9.18,71.2,71.24,75.12,5.7,65.0,74.4,24.5,17.8,5.7,42.97,11.0,14.0,38.0,25.6,35.2,75.5,46.4,"14,053","30,628","3,894","16,974       ",1252,162       ,69.5,10.9,"710,231",26.4,7.7,66.0,34.0      ,64.1,5.5,3.1,5.3,14.4,7.6,0.3,4.5,3.8,34.8,6.7,27.4,38.3,24.3,22.9,20.8,18.0,215,2.1,2.0,603.2,2739.4,4.1,37.9,22.8,79.7,357,55523.6,58.9,21.7,69.0,206203909,200589823,106.0,4920.0,1177491.0,1762.5,78.7,61202.0,7.8,9.9,12.9,6.2,34.1,16.3,25.2,0.9,12.7,10.8
Arizona,West,Mountain,4.89,4.80,4.97,79.6,77.17,82.1,27813,31580.00,26618.00,14.4,14.79,13.94,85.6,85.21,86.06,25.9,27.10,24.76,9.2,9.59,8.86,74.1,72.21,75.81,7.1,66.1,73.9,25.3,27.5,7.7,32.44,7.0,12.0,45.0,26.1,31.5,74.7,57.9,"17,083","20,979","1,671","8,714       ",413,128       ,76.0,10.6,"6,392,017",25.5,13.8,89.8,10.2      ,57.8,29.6,3.7,2.7,4.0,2.1,0.2,6.6,6.0,28.9,7.8,25.1,41.9,22.6,19.3,17.6,18.0,1996,1.9,2.3,428.9,3539.2,5.5,65.7,17.0,34.7,565,26315.8,52.9,31.1,15.1,21492996,17366164,5.4,630.0,250089.0,1171.6,74.1,34676.0,7.3,17.4,24.4,7.8,32.9,19.1,27.2,0.4,11.2,9.1
Arkansas,South,WestSouthAtlntc,3.91,3.95,3.96,76.0,73.13,78.8,23992,29038.00,24416.00,17.1,18.02,16.17,82.9,81.98,83.83,19.5,19.88,19.12,6.3,6.39,6.24,75.7,75.45,76.86,8.8,51.5,69.9,25.0,32.5,10.2,49.77,7.0,13.0,60.0,30.1,29.3,75.0,65.4,"12,580","22,934","2,311","9,744       ",962,86       ,68.5,12.0,"2,915,918",24.4,14.4,56.2,43.8      ,74.5,6.4,15.3,1.2,0.7,1.8,0.1,5.0,7.3,45.9,9.5,30.9,52.5,20.2,27.0,14.1,18.0,753,2.3,2.0,469.1,3660.1,5.9,65.1,15.5,42.3,507,27006.6,50.5,23.0,21.3,3455259,325555,1.0,15923.0,414124.0,4610.6,71.9,31547.0,6.3,18.8,27.6,6.9,29.4,16.3,25.9,1.1,9.8,17.5
California,West,Pacific,5.40,5.27,5.39,80.8,78.33,83.1,30356,33624.00,20242.00,19.3,19.70,18.91,80.7,80.30,81.09,30.1,30.47,29.73,11.0,11.71,10.24,78.4,77.20,79.88,6.8,50.7,75.4,21.8,23.6,9.7,50.78,É,11.0,53.0,24.6,25.3,78.2,61.7,"18,933","38,047",723,"9,530       ",446,191       ,76.6,8.3,"37,253,956",25.0,11.4,95.0,5.0      ,40.1,37.6,5.8,12.8,0.4,3.2,0.4,10.0,4.7,23.5,8.5,23.8,31.5,26.1,13.7,18.6,20.0,6087,1.1,1.1,423.1,2758.7,5.0,69.4,10.3,20.6,471,56554.4,55.2,27.5,10.8,17906862,8071051,0.8,20620.0,234158.0,1433.2,74.0,44898.0,8.0,15.8,22.0,8.5,35.8,17.7,25.3,1.4,8.6,11.2
Colorado,West,Mountain,5.53,5.55,5.45,80.0,77.79,82.2,30440,35465.00,25795.00,10.3,10.95,9.70,89.7,89.05,90.30,36.4,36.58,36.21,13.0,13.54,12.45,77.5,76.74,78.56,8.8,50.5,61.5,20.2,20.9,8.1,48.90,12.0,É,40.0,38.5,43.5,79.8,61.2,"16,208","29,153","2,727","9,704       ",709,187       ,82.8,7.7,"5,029,196",24.4,10.9,86.2,13.8      ,70.0,20.7,3.8,2.7,0.6,2.3,0.3,6.4,5.9,21.2,6.0,20.7,33.4,26.9,18.3,20.1,14.0,1041,1.6,1.6,308.9,2684.7,3.1,57.5,16.8,40.7,468,32425.4,70.3,37.0,19.5,6295753,5919746,0.9,10871.0,300243.0,3282.7,79.2,45913.0,7.2,13.4,17.4,6.8,38.1,16.4,24.8,0.5,10.8,9.4
Connecticut,NorthEast,NewEngland,6.17,6.20,6.11,80.8,78.57,82.9,35926,42639.00,25392.00,11.4,12.06,10.76,88.6,87.94,89.24,35.5,36.41,34.76,15.3,15.62,15.07,81.9,79.82,83.98,8.0,38.3,58.0,24.9,15.8,6.6,64.38,5.0,12.0,34.0,42.0,38.1,75.1,78.7,"19,400","44,699","3,401","15,993       ",753,209       ,84.4,5.8,"3,574,097",22.9,14.2,88.0,12.0      ,71.2,13.4,9.4,3.8,0.2,2.0,0.1,7.8,5.3,23.0,6.8,24.5,18.7,36.0,17.1,17.9,10.0,388,0.8,0.8,283.0,2140.0,4.1,76.7,9.4,25.6,411,33461.3,60.9,32.1,12.6,1027151,321708,0.1,8052.0,265316.0,1210.7,79.0,55143.0,8.3,10.1,12.8,7.8,40.2,16.7,24.9,0.2,7.7,10.2
Delaware,South,SouthAtlntc,5.22,5.16,5.28,78.4,75.91,80.7,31435,36194.00,30089.00,12.3,13.66,11.15,87.7,86.34,88.85,27.8,28.00,27.64,11.3,12.02,10.59,78.3,77.11,80.20,8.9,49.9,63.9,24.5,22.4,7.7,47.28,5.0,14.0,48.0,36.1,31.9,75.5,47.3,"19,541","22,928","2,942","12,876       ",421,153       ,77.2,8.5,"897,934",22.9,14.4,83.3,16.7      ,65.3,8.2,20.8,3.2,0.3,2.2,0.1,7.5,7.7,17.2,8.3,28.8,30.5,26.3,21.8,20.3,11.0,146,0.8,1.2,547.4,3340.9,6.2,71.9,11.3,26.5,473,36539.0,62.7,25.8,20.4,592012,73886,19.0,2032.0,368262.0,1357.3,76.9,61737.0,7.3,11.8,18.1,7.0,36.8,17.4,26.4,0.3,9.5,9.7
District of Columbia,South,SouthAtlntc,6.08,5.68,6.45,76.5,72.76,80.1,42058,45104.00,27259.00,12.6,13.24,11.98,87.4,86.76,88.02,50.1,51.45,48.91,26.9,28.14,25.85,74.6,72.44,74.42,10.2,30.9,81.2,40.1,27.4,13.1,73.60,7.0,17.0,72.0,18.8,17.0,59.9,50.7,,"44,190",,"19,957       ",É,624       ,72.1,8.8,"601,723",16.8,11.4,100.0,0.0      ,34.8,9.1,50.0,3.5,0.2,2.4,1.0,9.3,7.9,32.6,8.0,23.8,45.4,76.9,20.8,25.0,11.0,40,0.4,0.4,1243.7,4860.8,13.9,É,6.9,37.3,É,É,61.9,É,6.7,266,114,É,É,328318.0,18.7,75.8,147965.0,8.3,19.2,30.4,8.0,55.6,16.0,20.1,0.1,3.0,5.2
Florida,South,SouthAtlntc,4.82,4.67,4.98,79.4,76.62,82.3,26045,29480.00,40367.00,14.5,15.72,13.42,85.5,84.28,86.58,25.8,26.72,24.92,9.2,9.94,8.46,77.5,76.13,78.96,8.7,49.9,64.8,29.2,26.5,9.9,51.65,9.0,14.0,56.0,35.2,27.7,70.8,63.0,"12,774","28,533","2,497","9,543       ",349,87       ,78.8,9.7,"18,801,310",21.3,17.3,91.2,8.8      ,57.9,22.5,15.2,2.4,0.3,1.9,0.3,7.1,6.5,34.8,9.5,26.6,32.0,26.0,19.3,17.1,20.0,5147,2.1,2.2,487.1,3276.7,5.2,É,13.7,27.2,548,30648.6,63.5,23.8,14.2,5541706,647570,0.5,4742.0,256737.0,1152.7,75.0,34440.0,7.3,16.5,23.5,6.8,32.8,19.2,28.3,0.7,10.0,8.9
